mean1,mean2,mean3,species
-84.87537,-4.0789433,-18.389744,Anopheles_gambiae
-92.97269,-11.120659,-16.51243,Anopheles_gambiae
-91.41521,-5.447519,-19.713837,Anopheles_gambiae
-101.515625,-56.79992,14.513015,Anopheles_gambiae
-82.44719,-5.085171,-17.396854,Anopheles_gambiae
-97.6592,-21.445375,-10.835301,Anopheles_gambiae
-106.50752,-60.61691,16.099234,Anopheles_gambiae
-105.02839,-63.876602,19.37152,Anopheles_gambiae
-88.461525,-5.01047,-19.171679,Anopheles_gambiae
-97.74893,-15.788656,-14.772896,Anopheles_gambiae
-92.107025,-53.930443,15.116267,Anopheles_gambiae
-119.13672,-61.820076,13.512145,Anopheles_gambiae
-117.39621,-64.492165,15.910298,Anopheles_gambiae
-56.953827,1.7811524,-14.123787,Anopheles_gambiae
-97.289024,-52.770264,12.511931,Anopheles_gambiae
-105.64278,-21.060087,-13.308584,Anopheles_gambiae
-78.03865,-4.6325865,-16.398436,Anopheles_gambiae
-99.767296,-16.742601,-14.688211,Anopheles_gambiae
-109.3063,-27.247065,-10.021977,Anopheles_gambiae
-26.49517,-10.011653,1.9152153,Anopheles_gambiae
-49.779964,-31.207554,10.159041,Anopheles_gambiae
-60.143776,-35.895252,11.0794,Anopheles_gambiae
-54.101433,-33.793663,10.676611,Anopheles_gambiae
-47.84483,-28.186447,8.765847,Anopheles_gambiae
-62.64592,-38.5598,11.861211,Anopheles_gambiae
-36.856712,-6.8573055,-2.525538,Anopheles_gambiae
-115.67609,-50.325245,5.578682,Anopheles_gambiae
-110.56618,-58.94131,13.507327,Anopheles_gambiae
-96.52397,-23.026962,-9.384818,Anopheles_gambiae
-61.773666,1.7980806,-15.3974285,Anopheles_gambiae
-116.78429,-65.13245,16.703562,Anopheles_gambiae
-73.220856,-40.872013,10.407898,Anopheles_gambiae
-65.1711,-0.64105046,-15.078263,Anopheles_gambiae
-91.5814,-7.2743635,-18.630371,Anopheles_gambiae
-64.434265,2.2394428,-16.430109,Anopheles_gambiae
-101.983826,8.235284,-31.779495,Anopheles_coluzzii
-76.72832,25.212584,-37.27662,Anopheles_coluzzii
-71.47008,24.585049,-35.314404,Anopheles_coluzzii
-65.706406,36.919785,-41.719284,Anopheles_coluzzii
-51.739708,26.411148,-29.755424,Anopheles_coluzzii
-34.857887,14.28124,-16.43198,Anopheles_coluzzii
-66.69952,3.9245658,-18.432518,Anopheles_coluzzii
-82.76743,19.812073,-35.235825,Anopheles_coluzzii
-57.16041,6.7161927,-17.150898,Anopheles_coluzzii
-103.45021,1.0347615,-27.491117,Anopheles_coluzzii
-58.955997,22.7886,-30.12626,Anopheles_coluzzii
-88.7984,1.1743826,-23.5065,Anopheles_coluzzii
-74.243286,22.77755,-34.90919,Anopheles_coluzzii
-65.07272,21.7364,-31.417631,Anopheles_coluzzii
-61.125664,8.855109,-19.726767,Anopheles_coluzzii
-89.07907,9.612262,-28.744617,Anopheles_coluzzii
-65.58603,25.197243,-33.88938,Anopheles_coluzzii
-30.921608,15.45937,-15.887407,Anopheles_coluzzii
-102.478546,-1.6795894,-25.507938,Anopheles_coluzzii
-67.23104,19.725088,-30.67873,Anopheles_coluzzii
-63.443516,33.846165,-38.949585,Anopheles_coluzzii
-90.57669,18.7848,-36.60832,Anopheles_coluzzii
-82.95827,-74.46636,31.757212,Anopheles_arabiensis
-87.35616,-77.99695,32.218803,Anopheles_arabiensis
-88.57396,-81.3913,34.323997,Anopheles_arabiensis
-82.02255,-78.15704,33.517197,Anopheles_arabiensis
-75.60265,-69.555115,29.485603,Anopheles_arabiensis
-88.695984,-81.05484,34.35531,Anopheles_arabiensis
-94.77521,-77.97164,30.961002,Anopheles_arabiensis
-45.090324,-47.930477,22.990229,Anopheles_arabiensis
-46.783043,-50.91616,24.324833,Anopheles_arabiensis
-46.13067,-47.976845,22.954208,Anopheles_arabiensis
-48.890495,-50.29097,23.507162,Anopheles_arabiensis
-46.302143,-49.075333,23.52623,Anopheles_arabiensis
-52.94238,-56.12678,26.363468,Anopheles_arabiensis
-54.227276,-57.728188,27.028265,Anopheles_arabiensis
-48.63439,-47.989525,22.347626,Anopheles_arabiensis
-46.85219,-50.486397,24.231466,Anopheles_arabiensis
-45.20403,-47.914433,22.903519,Anopheles_arabiensis
-46.3354,-48.380497,22.937538,Anopheles_arabiensis
-51.40223,-49.919945,23.081545,Anopheles_arabiensis
-74.16611,-61.249542,24.679966,Anopheles_arabiensis
-91.37577,-81.09906,33.794456,Anopheles_arabiensis
-90.15109,-82.698006,34.91889,Anopheles_arabiensis
-73.638756,-62.663803,25.51115,Anopheles_arabiensis
-84.40104,-81.74696,35.444214,Anopheles_arabiensis
-79.06282,-65.553635,26.24199,Anopheles_arabiensis
-85.03351,-81.85739,35.41603,Anopheles_arabiensis
-64.20234,53.00457,-50.519775,Anopheles_tengrela
-56.889793,71.78152,-57.223648,Anopheles_tengrela
-59.950485,72.32813,-58.839203,Anopheles_tengrela
-62.481354,67.89081,-57.715553,Anopheles_tengrela
-33.474354,43.340584,-33.252884,Anopheles_tengrela
-62.48711,53.060684,-49.98999,Anopheles_tengrela
-56.434532,60.550392,-51.682213,Anopheles_tengrela
-51.233322,67.094666,-52.34517,Anopheles_tengrela
-62.42054,67.43695,-57.4276,Anopheles_tengrela
-63.00575,64.491936,-56.29873,Anopheles_tengrela
-35.46893,48.44906,-36.81477,Anopheles_tengrela
-58.355495,64.0366,-54.21763,Anopheles_tengrela
-63.606033,63.108624,-55.753525,Anopheles_tengrela
-29.568872,44.3161,-31.59111,Anopheles_tengrela
-61.86405,66.72691,-56.971996,Anopheles_tengrela
-39.95012,48.25599,-38.598377,Anopheles_tengrela
-56.05489,66.36983,-54.483505,Anopheles_tengrela
-46.44369,60.043533,-47.315388,Anopheles_tengrela
-52.084938,44.803505,-41.526775,Anopheles_tengrela
-52.109715,49.142647,-43.903507,Anopheles_tengrela
43.55555,-34.701538,27.794264,Anopheles_melas
40.423073,-37.169945,29.64393,Anopheles_melas
43.100784,-48.20981,37.643227,Anopheles_melas
44.230528959442196,-47.53869095342452,37.13577976771953,Anopheles_melas
44.37741465864286,-51.7951780331642,40.23445828971431,Anopheles_melas
43.88995497233062,-39.33585673070416,31.16514291311679,Anopheles_melas
40.713623,3.4170775,12.749136,Anopheles_merus
41.486492,3.67065,12.953387,Anopheles_merus
31.357414,2.444716,10.184467,Anopheles_merus
33.171436,2.130806,10.834814,Anopheles_merus
31.771389,1.6236106,10.643429,Anopheles_merus
48.48938,5.3337464,14.391643,Anopheles_merus
11.889539,-58.374428,40.07997,Anopheles_quadriannulatus
8.278338,-51.023018,35.103798,Anopheles_quadriannulatus
13.753841,-53.194073,37.447365,Anopheles_quadriannulatus
9.854512,-57.1568,39.017567,Anopheles_quadriannulatus
12.492183,-66.382545,45.362576,Anopheles_quadriannulatus
11.161967,-47.894913,33.4579,Anopheles_quadriannulatus
14.55626,-58.61565,40.819553,Anopheles_quadriannulatus
12.089353,-67.739655,45.908794,Anopheles_quadriannulatus
-11.062825,-66.14012,42.267204,Anopheles_bwambae_fontenillei
-11.185637,-56.77587,35.89704,Anopheles_bwambae_fontenillei
-13.536952,-64.09822,40.066963,Anopheles_bwambae_fontenillei
-16.85901,-79.29045,48.917183,Anopheles_bwambae_fontenillei
-16.389498,-70.3233,43.2669,Anopheles_bwambae_fontenillei
-15.99957,-78.49558,48.903625,Anopheles_bwambae_fontenillei
-15.637477,-79.63957,49.424797,Anopheles_bwambae_fontenillei
-6.850088,-63.382904,41.287918,Anopheles_bwambae_fontenillei
-8.747203,-66.32298,42.829937,Anopheles_bwambae_fontenillei
-6.032356,-62.52318,40.535034,Anopheles_bwambae_fontenillei
-5.482076999999999,-64.46384,42.2647,Anopheles_bwambae_fontenillei
