sample_id,sanger_sample_id,ena_sample_accession
NG-1-11,GbS9250974,ERS11885484
NG-1-15,GbS9250978,ERS11885485
NG-1-23,GbS9250986,ERS11885486
NG-1-25,GbS9250988,ERS11885487
NG-1-26,GbS9250989,ERS11885488
NG-1-30,GbS9250993,ERS11885489
NG-1-32,GbS9250995,ERS11885490
NG-1-49,GbS9251012,ERS11885491
NG-1-50,GbS9251013,ERS11885492
NG-1-75,GbS9251038,ERS11885493
NG-1-76,GbS9251039,ERS11885494
NG-1-81,GbS9251044,ERS11885495
NG-2-22,GbS9251087,ERS11885496
NG-2-25,GbS9251092,ERS11885497
NG-2-59,GbS9251136,ERS11885498
NG-4-14,GbS9251168,ERS11885499
NG-4-50,GbS9251204,ERS11885500
NG-4-78,GbS9251232,ERS11885501
NG-3-4,GbS9251254,ERS11885502
NG-3-9,GbS9251259,ERS11885503
NG-3-16,GbS9251266,ERS11885504
NG-3-53,GbS9251304,ERS11885505
NG-3-65,GbS9251318,ERS11885506
NG-3-68,GbS9251321,ERS11885507
NG-3-74,GbS9251328,ERS11885508
NG-3-81,GbS9251336,ERS11885509
NG-3-88,GbS9251344,ERS11885510
NG-3-89,GbS9251345,ERS11885511
NG-5-85,GbS9251430,ERS11885512
NG-6-10,GbS9251451,ERS11885513
NG-6-11,GbS9251452,ERS11885514
NG-6-12,GbS9251453,ERS11885515
NG-6-33,GbS9251474,ERS11885516
NG-6-34,GbS9251475,ERS11885517
NG-6-53,GbS9251494,ERS11885518
NG-6-83,GbS9251524,ERS11885519
VBS17530,GbS9284573,TBC
VBS17536,GbS9284579,TBC
MADA2-3,GbS9284711,TBC
MADA2-6,GbS9284714,TBC
MADA2-10,GbS9284718,TBC
MADA2-11,GbS9284719,TBC
MADA2-12,GbS9284720,TBC
MADA2-13,GbS9284721,TBC
MADA2-17,GbS9284725,TBC
MADA2-21,GbS9284729,TBC
MADA2-22,GbS9284730,TBC
MADA2-23,GbS9284731,TBC
MADA2-26,GbS9284734,TBC
MADA2-27,GbS9284735,TBC
MADA2-30,GbS9284738,TBC
MADA2-53,GbS9284743,TBC
MADA2-57,GbS9284747,TBC
MADA2-63,GbS9284753,TBC
MADA2-66,GbS9284756,TBC
MADA2-69,GbS9284759,TBC
MADA2-70,GbS9284760,TBC
MADA2-71,GbS9284761,TBC
MADA2-77,GbS9284767,TBC
