SUPPLIER SAMPLE NAME	SERIES	ASP-PROJ CODE-COUNTRY CODE-MMYY-PLATENO	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	ORGANISM_PART	CATCH_ID	ORDER_OR_GROUP	FAMILY	GENUS	SCIENTIFIC_NAME	LIFESTAGE	SEX	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	HABITAT	TIME_OF_COLLECTION	TIME_OF_COLLECTION.1	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	IDENTIFIED_HOW	PRESERVATION_APPROACH	PRESERVATIVE_SOLUTION	TIME_ELAPSED_FROM_COLLECTION_TO_PRESERVATION	DATE_OF_PRESERVATION	HAZARD_GROUP	REGULATORY_COMPLIANCE	VOUCHER_ID	TEMP.(°C)	HUMIDITY_(%)	WIND_DIRECTION	WIND SPEED_(km/h)	GUST SPEED_(km/h) 	RAINFALL_(mm)	SOLAR_RADIATION_(W/m²)	COLLECTED_BY	COLLECTOR_AFFILIATION	IDENTIFIED_BY	IDENTIFIER_AFFILIATION	PRESERVED_BY	PRESERVER_AFFILIATION	DATE_RECEIVED	ARRIVAL_CONDITION	SAMPLE_TYPE	PARTNER_PLATE_ID	MOSQUITO_PLATE_ID	MOSQUITO_WELL_ID	DATE_OF_DNA_EXTRACTION	ETHANOL REMOVED	BUFFER	BUFFER VOL ADDED	SAMPLE_VOLUME	DNA_STOCK_PLATE_BARCODE	DNA_STOCK_WELL_ID	DNA_QUANTIFICATION_METHOD	DNA_STOCK_CONCENTRATION	DNA_DIL_PLATE_BARCODE	DILUTION	VOL_STOCK_DNA	VOL_WATER	TOTAL_DIL_VOL	SCIOPS_PLATE_ID	SCIOPS_STUDY_ID	SCIOPS_PROJECT_ID	PARENT_RT_TICKET_NUMBER	CHILD_RT_TICKET_NUMBER	SCIOPS_MANIFEST_NUMBER	MANIFEST_SENT_TO_SCIOPS	SAMPLES_SUBMITTED_TO_SCIOPS	s_Sample	assigned	res_coarse	res_int	res_fine	n_mosquito_targets	mosquito_reads	mean_mosquito_haps	n_multiallelic	VAE_species	species_call	call_method
DN806231V_A1	1.0	ASP-BUMI-BF-2103-01	PLATE1	A1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	Four homes separated by at least 100 m are randomly selected in the village. In each selected home, two peoples sit down, one indoor or outside the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator. Each mosquito after collection is placed in hemolyze tube plugged with a piece of cotton. The hemolyze tube is then placed in a bag containing information about the time interval of collection, the ID of the collection point. Early in the morning all the bag are sent to the field laboratory for mosquito identification and preservation. 	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	A1	20210429	Y	C	60.0	20.0	GDNA00000682A	A1	PICOGREEN	5.354	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_A1	True	Pyretophorus_series	Anopheles_gambiae_complex		54.0	4151.0	1.3518518518518519	0.0	Uncertain_coluzzii_gambiae	Uncertain_coluzzii_gambiae	VAE
DN806231V_B1	2.0	ASP-BUMI-BF-2103-01	PLATE1	B1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	B1	20210429	Y	C	60.0	20.0	GDNA00000682A	B1	PICOGREEN	2.911	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_B1	True	Pyretophorus_series	Anopheles_gambiae_complex		57.0	3945.0	1.3859649122807018	0.0	Anopheles_gambiae	Anopheles_gambiae	VAE
DN806231V_C1	3.0	ASP-BUMI-BF-2103-01	PLATE1	C1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	C1	20210429	Y	C	60.0	20.0	GDNA00000682A	C1	PICOGREEN	18.478	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_C1	True	Pyretophorus_series	Anopheles_gambiae_complex		58.0	12685.0	1.6206896551724137	2.0	Anopheles_gambiae	Anopheles_gambiae	VAE
DN806231V_D1	4.0	ASP-BUMI-BF-2103-01	PLATE1	D1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	D1	20210429	Y	C	60.0	20.0	GDNA00000682A	D1	PICOGREEN	7.064	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_D1	True	Pyretophorus_series	Anopheles_gambiae_complex		59.0	10490.0	1.4915254237288136	4.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE
DN806231V_E1	5.0	ASP-BUMI-BF-2103-01	PLATE1	E1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	E1	20210429	Y	C	60.0	20.0	GDNA00000682A	E1	PICOGREEN	7.685	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_E1	True	Pyretophorus_series	Anopheles_gambiae_complex		52.0	2586.0	1.2692307692307692	2.0	Anopheles_gambiae	Anopheles_gambiae	VAE
DN806231V_F1	6.0	ASP-BUMI-BF-2103-01	PLATE1	F1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	F1	20210429	Y	C	60.0	20.0	GDNA00000682A	F1	PICOGREEN	9.829	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_F1	True	Pyretophorus_series	Anopheles_gambiae_complex		59.0	7424.0	1.4406779661016949	1.0	Anopheles_gambiae	Anopheles_gambiae	VAE
DN806231V_G1	7.0	ASP-BUMI-BF-2103-01	PLATE1	G1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	G1	20210429	Y	C	60.0	20.0	GDNA00000682A	G1	PICOGREEN	7.899	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_G1	True	Pyretophorus_series	Anopheles_gambiae_complex		55.0	3556.0	1.2545454545454546	0.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE
DN806231V_H1	8.0	ASP-BUMI-BF-2103-01	PLATE1	H1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	H1	20210429	Y	C	60.0	20.0	GDNA00000682A	H1	PICOGREEN	25.356	GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_H1	True	Pyretophorus_series	Anopheles_gambiae_complex		58.0	4481.0	1.2758620689655173	0.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE
DN806231V_A2	9.0	ASP-BUMI-BF-2103-01	PLATE1	A2	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	A2	20210429	Y	C	60.0	20.0	GDNA00000682A	A2			GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_A2	True	Pyretophorus_series	Anopheles_gambiae_complex		58.0	6400.0	1.396551724137931	1.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE
DN806231V_B2	10.0	ASP-BUMI-BF-2103-01	PLATE1	B2	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE	N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306	RURAL AREA	4:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21	HG1	Y	NOT_APPLICABLE	24.22	86.90	199.40	0.00	0.00	0.00	0.60	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	20210419.0	good	whole adult	PLATE1	MOZZ00000946A	B2	20210429	Y	C	60.0	20.0	GDNA00000682A	B2			GDNA00000683A	1:10	2	18	20	DN806231V	6471.0	3508.0	719287.0	719431.0	17065.0	2021-06-25	2021-06-25	DN806231V_B2	True	Pyretophorus_series	Anopheles_gambiae_complex		57.0	3704.0	1.280701754385965	1.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE
