SUPPLIER SAMPLE NAME	SERIES	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	ORGANISM_PART	ORDER	FAMILY	GENUS	SCIENTIFIC_NAME	LIFESTAGE	SEX	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	HABITAT	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	IDENTIFIED_HOW	PRESERVATION_APPROACH	PRESERVATIVE_SOLUTION	TIME_ELAPSED_FROM_COLLECTION_TO_PRESERVATION	DATE_OF_PRESERVATION	DNA_EXTRACTION_DESCRIPTION	DNA_EXTRACT_VOLUME_PROVIDED	DNA_EXTRACT_CONCENTRATION	HAZARD_GROUP	REGULATORY_COMPLIANCE	VOUCHER_ID	IDENTIFIED_BY	IDENTIFIER_AFFILIATION	COLLECTED_BY	COLLECTOR_AFFILIATION	PRESERVED_BY	PRESERVER_AFFILIATION	DATE_RECEIVED	ARRIVAL_CONDITION	assigned	res_coarse	res_int	res_fine	n_mosquito_targets	mosquito_reads	VAE_species	species_call	call_method	n_multiallelic	mean_mosquito_haps	DESCRIPTION_OF_COLLECTION_METHOD
DN806189N_G12	863.0	GDNA00000532A	G12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4339	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	2	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		61.0	15576.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.5573770491803278	
DN806190G_G12	959.0	GDNA00000533A	G12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4349	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	2	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		59.0	14782.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.4067796610169492	
DN806192I_G12	1151.0	GDNA00000535A	G12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4350	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	2	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		59.0	5803.0	Anopheles_gambiae	Anopheles_gambiae	VAE	0.0	1.3559322033898304	
DN806195L_A12	1433.0	GDNA00000538A	A12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4352	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	2	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit			HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		60.0	17898.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.6	
DN806195L_B12	1434.0	GDNA00000538A	B12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4363	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		14.0	365.0		Anopheles_gambiae_complex	NN_INTERMEDIATE	0.0	1.2142857142857142	
DN806195L_C12	1435.0	GDNA00000538A	C12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4367	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD								TOO_FEW_TARGETS	TOO_FEW_TARGETS	0.0		
DN806195L_D12	1436.0	GDNA00000538A	D12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4373	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		60.0	15137.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.4166666666666667	
DN806195L_E12	1437.0	GDNA00000538A	E12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4377	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		60.0	15834.0	Anopheles_gambiae	Anopheles_gambiae	VAE	0.0	1.4333333333333331	
DN806195L_F12	1438.0	GDNA00000538A	F12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4386	2019-11-21	GABON | LOPE NATIONAL PARK	-0.11054	11.60093	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		60.0	18648.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.5833333333333333	
DN806195L_G12	1439.0	GDNA00000538A	G12	HEAD | THORAX	Diptera	Culicidae	Anopheles	Anopheles gambiae group	ADULT	FEMALE	N	N	4690	2019-11-23	GABON | LOPE NATIONAL PARK	-0.10436	11.60873	Domestic	NOT_COLLECTED	NOT_COLLECTED	HUMAN_LANDING_CATCH	OUTDOORS	taxon expert, morphology	Kept at -20C within silica. Held at RT for 10 hours from field to laboratory in Gabon then stored at -20C before shipping in France. Held at RT for 48 hours for shipping from Gabon to Montpellier and then stored at -20C	NONE	3	2019-11-20	DNA extraction and purification carried out with DNeasy Blood and Tissue Kit	15.0		HG1	Y		BORIS MAKANGA | LEMONDE BOUAFOU | NIL RAHOLA	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	BORIS MAKANGA | DIEGO AYALA | NIL RAHOLA | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	INSTITUT DE RECHERCHE EN ECOLOGIE TROPICALE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | FRENCH NATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT	FRANCK MONIOKO | LEMONDE BOUAFOU | MARC FLAUBERT NGANGUE	UNIVERSITE DES SCIENCES ET TECHNIQUES DE MASUKU | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE | CENTRE INTERDISCIPLINAIRE DE RECHERCHES MEDICALES DE FRANCEVILLE	2021-04-28	GOOD	True	Pyretophorus_series	Anopheles_gambiae_complex		61.0	16457.0	Anopheles_coluzzii	Anopheles_coluzzii	VAE	0.0	1.3934426229508197	
